entity_id,wikidata_id,name,description,types,aliases
9223,Q34,Sweden,country in Northern Europe,Q6256|Q3624078,"Kingdom of Sweden, se, Swedish Kingdom"
9224,Q340,Montreal,"largest city in Quebec, Canada",Q200250|Q1187811|Q27676416|Q104782082,"Montréal, Montreal, Canada, City of Montreal, Montreal, Quebec, Montreal/Tiohtia:ke, Tiohtia:ke/Montreal, Ville de Montreal, Ville de Montréal"
9225,Q340016,Denis Johnson,"American writer (novel, drama, poetry, essay) (1949-2017)",Q5,"Dennis Johnson, Dionysius Johnson"
9226,Q340046,Roya Hakakian,Iranian American author,Q5,
9227,Q34006,Hollywood,"neighborhood in Los Angeles, California, United States",Q123705,"Tinseltown, Hollywood, CA, Hollywood, California, Hollywood, Los Angeles"
9228,Q340074,Samad Behrangi,Iranian writer and social critic (1939–1967),Q5,
9229,Q3400970,Central Sofia Cemetery,"cemetery in Sofia, Bulgaria",Q39614,
9230,Q3400985,academic,person who works as a teacher or researcher at a university or other higher education institution,Q28640|Q4164871,"don, faculty, academics, academic personnel, faculty member, academic staff, faculty staff, member of the faculty"
9231,Q340138,Ace Ventura: Pet Detective,1994 film by Tom Shadyac,Q11424,
9232,Q340195,African Development Bank,multilateral development finance institution,Q105758271,"AfDB, African Development Bank Group"
9233,Q34020,Niue,island country in the South Pacific Ocean in free association with New Zealand,Q6256|Q112099|Q1138279,"nu, Niuē"
9234,Q340213,Adam Arkin,American actor and director,Q5,
9235,Q340260,Achille Zavatta,"French clown, artist and circus operator (1915-1993)",Q5,
9236,Q34060,Yizhak Rabin,"Israeli politician, statesman and general (1922–1995)",Q5,"Yitzhak Rabin, Rabin, Itshak Rabin, Itzhak Rabin"
9237,Q34069,Ashkenazi Jews,"Jewish diaspora of Central, Western and Eastern Europe",Q41710|Q101063310,"Ashkenazi Jew, Ashkenazi Jewish people, Ashkenazim"
9238,Q34074720,feminist,person who supports or (and) practices feminism,Q844569,profeminist
9239,Q340814,Eight Men Out,1988 film directed by John Sayles,Q11424,
9240,Q34086,Justin Bieber,Canadian singer (born 1994),Q5,Justin Drew Bieber
9241,Q34091,Mae Jemison,American doctor and NASA astronaut,Q5,"Mae C. Jemison, Mae Carol Jemison, Mae EL Jemison"
9242,Q340911,Rollercoaster,1977 film directed by James Goldstone,Q11424,
9243,Q3410028,psychoanalyst,psychiatrist or psychotherapist who specializes in psychoanalysis,Q28640,"analyst, psycho-analyst"
9244,Q34105,Hosni Mubarak,President of Egypt from 1981 to 2011,Q5,"Mubarak, Mobarak, Mohammed Hosni Mobarak, Muhammad Hosni El Sayed Mubarak, Muhammad Husni Mubarak, Muhammad Husni Saʿid Mubarak"
9245,Q3415083,RCA Victor,US international record label,Q18127,RCA Victor Records
9246,Q34166,Slash,British musician,Q5,"Saul 'Slash' Hudson, Saul Hudson"
9247,Q34178,theology,study of the nature of deities and religious beliefs,Q223393|Q4671286|Q11862829,
9248,Q34189,Pablo Neruda,Chilean poet and politician (1904–1973),Q5,"Bāblū Nīrūdā, Neftali Reyes Basoalto, Neftali Reyes Basualto, Neftalí Reyes Basualto, Neftalí Reyespeneto, Neftali Ricardo Reyes, Neftalí Ricardo Reyes, Neftali Ricardo Reyes Basoalto, Neftalí Ricardo Reyes Basoalto, Nieh-lu-ta, Nieluda, Pamplo Nerouda, Pāplō Nerūda"
9249,Q34190,Henry Fielding,English novelist and dramatist (1707–1754),Q5,"Lemuel Gulliver, Petrus Gualterus, Alexander Drawcansir, Conny Keyber, Enrique Fielding, Genri Filʹding, Henri Fielding, Henri Filding, Hercules Vinegar, John Trottplaid, Scriblerus Secundus"
9250,Q34211,Yasser Arafat,Palestinian political leader (1929–2004) and Former President of the Palestinian National Authority (1994-2004),Q5,"Abu Ammar, Yaser Arafat, Yasir Arafat, Mohammed Yasser Abdel Rahman Abdel Raouf Arafat al-Qudwa, Mohammed Yasser Abdel Rahman Abdel Raouf Arafat al-Qudwa al-Husseini, Muhammad Yassur Abd ar-Raouf Arafat al-Qudwa"
9251,Q34217,Oxford,"city in Oxfordshire, England",Q515|Q1187811|Q1357964|Q7897276,"Oxford, England"
9252,Q342397,Valentin Glushko,Soviet rocket engineer (1908-1989),Q5,"Valentín Petróvich Gluchko, Valentin Petrovich Glushko"
9253,Q342419,Toby Jones,British actor,Q5,"Tobey Jones, Toby Edward Heslewood Jones"
9254,Q342430,Mark Addy,English actor,Q5,Mark I. Addy
9255,Q342526,Synyster Gates,American guitarist,Q5,"Syn, Brian Elwin Haner Jr., Brian Elwin Haner, Jr."
9256,Q342533,Damian Lewis,British actor,Q5,
9257,Q342549,Nathan Fillion,Canadian-American actor (born 1971),Q5,Nathan Christopher Fillion
9258,Q342580,Q342580,"Lithuanian writer, poet and physician (1858–1899)",Q5,
9259,Q342604,Idris Elba,British actor,Q5,"Big Driis the Londoner, DJ Big Driis, Idrissa Akuna Elba Obe"
9260,Q34266,Russian Empire,former empire in Eurasia and North America (1721–1917),Q3024240,"Russia, Tsarist Russia, Rusia, Rossia, Empire of Russia, Imperial Russia, Moscovy, Moscovy or Russia, Russia or Moscovy"
9261,Q342665,Jeffrey Dean Morgan,American actor,Q5,
9262,Q342723,Gene Autry,American actor (1907–1998),Q5,Orvon Gene Autry
9263,Q342730,Antonio Labriola,Italian philosopher (1843-1904),Q5,
9264,Q342756,Sterling Knight,"American actor, singer, songwriter, director, comedian and musician",Q5,Sterling Sandmann Knight
9265,Q342774,Frankie Laine,"American pop singer, songwriter, and actor (1913–2007)",Q5,
9266,Q342778,Pat Boone,American singer (born 1934),Q5,"Charles Boone, Charles E. Boone, Charles Eugene Boone, Pat Eugene Boone, Patrick Charles Eugene Boone"
9267,Q342788,Bruce Greenwood,Canadian actor and musician,Q5,Stuart Bruce Greenwood
9268,Q3427922,restaurateur,person who manages restaurants professionally,Q28640,"gastronomist, restauranteur"
9269,Q342803,Portsmouth,"independent city in Virginia, United States",Q1266818,"Portsmouth, VA, Portsmouth, Virginia"
9270,Q3428253,U.S. Air Force Test Pilot School,Air Force's advanced flight training school,Q4273133,"US Aerospace Research Pilot School, USAF TPS"
9271,Q34286,Alexander Graham Bell,Canadian-American scientist inventor of telephone (1847–1922),Q5,"Alexander Bell, Graham Bell, Alexander G. Bell"
9272,Q342876,Across the Universe,2007 film directed by Julie Taymor,Q11424,
9273,Q342949,David Moss,American singer (born 1949),Q5,
9274,Q34296,Woodrow Wilson,president of the United States from 1913 to 1921,Q5,"T. Wilson, President Wilson, Thomas Woodrow Wilson, T. W. Wilson, T. Woodrow Wilson, Thomas W. Wilson"
9275,Q342962,Anthony Head,English actor,Q5,Anthony Stewart Head
9276,Q343037,Trevor Howard,"English film, stage and television actor (1913–1988)",Q5,
9277,Q3430566,Richard C. Breeden,Member of the US Securities and Exchange commission,Q5,
9278,Q343059,Jeffrey Wright,American actor (born 1965),Q5,
9279,Q343299,Francisco Rabal,Spanish actor (1926–2001),Q5,Paco Rabal
9280,Q343304,Gilby Clarke,American guitarist,Q5,
9281,Q343394,İbrahim Tatlıses,Turkish musician (born 1952),Q5,"Ibrahim Tatlises, İbo"
9282,Q343433,Adolf Dux,Hungarian writer (1822-1881),Q5,
9283,Q343456,Georgy Guryanov,Russian musician and painter (1961-2013),Q5,"Georgy Gurianov, Georgy Konstantinovich Guryanov, Gustav Guryanov"
9284,Q343463,Mark Williams,"English actor, comedian, screenwriter and presenter",Q5,
9285,Q343477,Peter Verhelst,Belgian writer,Q5,P. R. A. M. Verhelst
9286,Q343510,Oliver Platt,Canadian-born American actor,Q5,Oliver James Platt
9287,Q3435328,Robert Hadfield,British metallurgist (1858–1940),Q5,"R. A. Hadfield, Robert A. Hadfield, Robert Abbott Hadfield, Sir Robert Abbott Hadfield, Sir Robert Abbott Hadfield, 1st Baronet"
9288,Q343616,Paul Dano,American actor (born 1984),Q5,Paul Franklin Dano
9289,Q343633,Burgess Meredith,American actor (1907–1997),Q5,Oliver Meredith
9290,Q3436506,"Robert W. Welch, Jr.",American businessman and anti-communist conspiracy theorist (1899–1985),Q5,"Robert Welch, Robert H. W. Welch, Robert Henry Winborne Welch"
9291,Q343668,Action Jackson,1988 film by Craig R. Baxley,Q11424,
9292,Q34370,Rotterdam,"city in South Holland, the Netherlands",Q515|Q486972|Q1549591|Q1852859|Q2264924|Q13539802,"Roffa, Rotjeknor, R'dam"
9293,Q3438272,Whitney Straight,British racing driver (1912-1979),Q5,"A/Cdre. Whitney Willard Straight, Whitney Willard Straight"
9294,Q34389,Whitney Houston,"American singer, actress, and film producer (1963–2012)",Q5,Whitney Elizabeth Houston
9295,Q3439052,Roger Guesnerie,French economist (1943–2026),Q5,
9296,Q34391,Adelheid Popp,Austrian feminist and socialist (1869–1939),Q5,Adelheid Dworak
9297,Q343983,Henry Winkler,American actor,Q5,The Fonz
9298,Q34404,New Orleans,"largest city of the state of Louisiana, United States",Q1093829|Q1549591|Q3301053,"The Big Easy, Crescent City"
9299,Q34414,Rear Window,1954 film directed by Alfred Hitchcock,Q11424,
9300,Q3441496,Ronald N. Bracewell,Australian scientist (1921–2007),Q5,"Ronald Bracewell, Ronald Newbold Bracewell"
9301,Q344153,İsmail Cem,Turkish photographer and writer (1940–2007),Q5,İsmail Cem
9302,Q344179,Panait Istrati,Romanian writer (1884–1935),Q5,
9303,Q34424,Shakira,"Colombian singer, songwriter and actress",Q5,"Shakira Isabel Mebarak Ripoll, Shakira Mebarak"
9304,Q34433,University of Oxford,"collegiate research university in Oxford, England",Q38723|Q875538|Q3354859|Q5341295|Q5420001,"Oxford, Oxford University, Oxon., Oxf, The University of Oxford, Univ. of Oxford, Universitas Oxoniensis"
9305,Q34436,Scarlett Johansson,American actress (born 1984),Q5,Scarlett Ingrid Johansson
9306,Q344384,Damon Dash,American music executive (born 1971),Q5,Damon Anthony Dash
9307,Q344454,Charles de Rémusat,French politician and writer (1797-1875),Q5,"Charles de Remusat, Charles François Marie, Comte de Rémusat, Charles, Comte de Rémusat"
9308,Q34453,Boris Yeltsin,"Soviet and Russian politician, 1st President of Russia (1931–2007)",Q5,"Yeltsin, Boris Nikolayevich Yeltsin, Eltsine Boris Nikolaevitch"
9309,Q344537,Actresses,2007 film by Valeria Bruni Tedeschi,Q11424,
9310,Q344567,Rob Morrow,American actor and director (born 1962),Q5,Robert Alan Morrow
9311,Q34460,Gwyneth Paltrow,"American actress, entrepreneur, writer and singer (born 1972)",Q5,Gwyneth Kate Paltrow Martin
9312,Q344616,Charles Warren Stoddard,American author and editor (1843–1909),Q5,"C. W. Stoddard, Charles W. Stoddard"
9313,Q344655,John Mahoney,American actor (1940–2018),Q5,"Charles John Mahoney, Jonathan Mahoney"
9314,Q34474,Aleksandr Solzhenitsyn,"Russian writer, publicist, poet and politician (1918–2008)",Q5,"Aleksander Solzhenitsyn, Aleksandr Isayevich Solzhenitsyn, Alexander Isayevich Solzhenitsyn, Alexander Solzhenitsyn"
9315,Q344758,Gig Young,American actor (1913–1978),Q5,Byron Barr
9316,Q344822,Herb Alpert,American trumpeter and recording industry executive (born 1935),Q5,"Herb Alpert & the Tijuana Brass, Herbert «Herb» Alpert"
9317,Q344973,Michael Ironside,Canadian actor,Q5,Frederick Reginald Ironside
9318,Q344983,Babyface,"American singer, songwriter, and record producer",Q5,"Face, Kenneth ""Babyface"" Edmonds, Kenneth Edmonds, Kenny ""Babyface"" Edmonds, Kenny Edmonds, Y Corp"
9319,Q345212,Dean Stockwell,American actor (1936–2021),Q5,
9320,Q345217,Lucio Fulci,Italian filmmaker (1927–1996),Q5,
9321,Q34529,Bela Lugosi,Hungarian-American actor (1882–1956),Q5,
9322,Q345325,Harry Shearer,American actor (born 1943),Q5,Harry Julius Shearer
9323,Q3454165,Kevin Bacon,American actor (born 1958),Q5,Kevin Norwood Bacon
9324,Q345431,John Mellencamp,American singer-songwriter,Q5,"Johnny Cougar, John Cougar, John Cougar Mellencamp, John J. Mellencamp, Little Bastard"
9325,Q345446,Ernesto Lecuona,Cuban composer (1896-1963),Q5,Ernesto Lecuona y Casado
9326,Q345468,Tom Mix,American film actor (1880-1940),Q5,"Thomas Edwin Mix, Thomas Hezikiah Mix, Thomas Mix"
9327,Q345494,Ryuichi Sakamoto,Japanese composer (1952–2023),Q5,"Professor Sakamoto, Ryūichi Sakamoto, Ryouichi Sakamoto, Sakamoto Ryuichi, Sakamoto Ryūichi"
9328,Q345517,Peter Lawford,British actor (1923–1984),Q5,"Peter Sydney Ernest Aylen, Peter Sydney Ernest Lawford"
9329,Q345531,W. Averell Harriman,"American businessman, politician and diplomat (1891–1986)",Q5,"Averell Harriman, William Averell Harriman"
9330,Q345538,Calouste Gulbenkian,"Armenian businessman, art collector and philanthropist (1869-1955)",Q5,"Calouste Sarkis Gulbenkian, Calouste S. Gulbenkian"
9331,Q345571,Belisario Betancur,former President of Colombia (1923-2018),Q5,"Belisario Antonio Betancur Cuartas, Belisario Betancur Cuartas"
9332,Q3455803,director,director of a creative work,Q28640|Q4220920|Q15839299,"regisseur, Kantoku"
9333,Q345612,Harold Bloom,"American literary critic, scholar, and writer (1930–2019)",Q5,Harold Irving Bloom
9334,Q34584,Anastacia,American singer,Q5,"Anastacia Lyn Newkirk, Anastacia Newkirk"
9335,Q345888,Robert Galley,French politician (1921-2012),Q5,
9336,Q345906,Albert Boadella,Spanish actor and director,Q5,"Albert Boadella Oncins, El curt"
9337,Q34597,James A. Garfield,president of the United States in 1881,Q5,"James Garfield, James Abram Garfield, J. A. Garfield, J. Garfield, President Garfield"
9338,Q346036,Keith Whitley,American country singer (1954–1989),Q5,Jesse Keith Whitley
9339,Q346064,Ada Brodsky,Israeli journalist and translator (1924–2011),Q5,"Ada Brodski, Ada Neumark, Adah Brodski, Adah Brodsky"
9340,Q346085,Ed Bruce,American country music songwriter and singer (1939–2021),Q5,
9341,Q346091,Léon Halévy,French historian (1802-1883),Q5,Leon Halevy
9342,Q346216,Ada María Elflein,Argentine writer (1880–1919),Q5,Ada Maria Elflein
9343,Q3462736,Samuel Gustaf Hermelin,Swedish businessman and diplomat,Q5,
9344,Q34628,Gotthold Ephraim Lessing,"German writer, philosopher, publicist, and art critic (1729–1781)",Q5,Father of German Literature
9345,Q346280,Alan Ladd,American actor (1913–1964),Q5,Alan Walbridge Ladd
9346,Q346285,Q346285,British film composer,Q5,David G. Arnold
9347,Q346309,Ada Smith,American entertainer (1894-1984),Q5,"Ada ""Bricktop"" Smith, Ada Beatrice Queen Victoria Louise Virginia Smith, Ada Beatrice Smith, Ada DuConge, Bricktop Smith"
9348,Q346374,J. D. Souther,"American singer, songwriter, and actor (1945–2024)",Q5,"J.D. Souther, JD Souther, John David Souther"
9349,Q346411,Michael Landon,American actor and filmmaker (1936–1991),Q5,
9350,Q34647,Johannesburg,largest city in South Africa,Q515|Q208511|Q1066984|Q1549591|Q11271835|Q51929311,"Jozi, Johannesburg, South Africa, eGoli, Jo'burg, joburg, Johannesburg, Gauteng, Johannesburg, Gauteng, South Africa, ZAJNB"
9351,Q346532,Wojciech Świętosławski,Polish physicochemist (1881-1968),Q5,Wojciech Swiętosławski
9352,Q346540,Michael Lonsdale,French actor (1931–2020),Q5,Michel Lonsdale
9353,Q346595,Jonathan Frakes,American actor and director,Q5,Jonathan Scott Frakes
9354,Q34660,Q34660,British author and philanthropist (born 1965),Q5,"Joanne Murray, JK, JKR"
9355,Q346607,Dee Dee Ramone,American bassist (1951–2002),Q5,"Dee Dee King, Douglas Colvin, Douglas Glen Colvin"
9356,Q346648,André Tardieu,Prime Minister of France (1876–1945),Q5,Le Mirobolant
9357,Q34670,Albert Camus,"French philosopher, author, and journalist (1913–1960)",Q5,Camus
9358,Q34677,Greg Garcia,"American television writer, producer and director (born 1970)",Q5,Gregory Thomas Garcia
9359,Q346777,Leonid Ramzin,Russian engineer (1887–1948),Q5,Leonid Konstantinovich Ramzin
9360,Q346801,Peter Buck,"American musician; guitarist for R.E.M., songwriter, record producer",Q5,Raoul
9361,Q346833,Ian Wolfe,American actor (1896-1992),Q5,Ian Marcus Wolfe
9362,Q34692,Kingston,capital of Jamaica,Q515|Q1549591,"Kingston, Jamaica, Kingston, Surrey"
9363,Q346965,Mickey Jones,American rock drummer and film actor (1941–2018),Q5,
9364,Q347,Liechtenstein,country in Central Europe,Q6256|Q3624078,"LIE, li, FL, LI, Principality of Liechtenstein"
9365,Q347118,Hristo Botev,Bulgarian poet and revolutionary (1847–1876),Q5,
9366,Q347128,Clay Aiken,"American singer-songwriter, actor, and record producer",Q5,Clayton Holmes Aiken
9367,Q34713,Salzburg,"city in Austria, eponymous capital city of the federal state of Salzburg",Q262882|Q667509|Q871419|Q1549591|Q13539802,
9368,Q347362,Fredric Jameson,American academic and literary critic (1934–2024),Q5,"Fredric R. Jameson, Fredric Ruff Jameson"
9369,Q347368,Immortal Technique,American rapper,Q5,"Felipe Coronel, Felipe Andres Coronel"
9370,Q34739,Dayton,"city and county seat of Montgomery County, Ohio, United States",Q62049|Q1093829|Q1549591|Q108569710,"Gem City, Dayton, Ohio, Dayton, OH"
9371,Q347395,Luis Gómez,Puerto Rican actor,Q5,Luis Guzman
9372,Q347428,Jun Matsumoto,"Japanese singer, actor, radio host",Q5,"Matsumoto Jun, matsujun, MatsuJun, Matsumoto jun"
9373,Q34743,Rudyard Kipling,English writer and poet (1865–1936),Q5,"Kipling, Joseph Rudyard Kipling, R. Kipling"
9374,Q347436,Wilmer Valderrama,American-venezuelan actor,Q5,
9375,Q347456,Jin Akanishi,"Japanese singer-songwriter, actor, voice actor, radio host",Q5,
9376,Q347461,Joe Haldeman,American science fiction writer,Q5,"Robert Graham, Joe William Haldeman"
9377,Q347528,Liberace,American pianist (1919–1987),Q5,"Lee Liberace, Mr. Showmanship, The Glitter Man, Vladziu Valentino Liberace, Walter Busterkeys, Walter Liberace, Wladziu Valentino Liberace"
9378,Q347539,Barthélemy Hauréau,French historian and writer (1812-1896),Q5,"Barthelemy Haureau, Jean-Barthelemy Haureau, Jean-Barthélemy Hauréau"
9379,Q347635,Michel Galabru,French actor (1922–2016),Q5,
9380,Q3476361,Scottish Americans,ethnic group; Americans of Scottish birth or descent,Q41710|Q2531956,"Scottish American, Scots American, Scots Americans"
9381,Q347685,Korney Chukovsky,Russian children's poet (1882–1969),Q5,"Kornei Chukovskii, Korney Chukovskiy, Korney Ivanovich Chukovsky"
9382,Q347717,Joe Bonamassa,American musician (born 1977),Q5,Bonamassa
9383,Q347767,Jerzy Andrzejewski,Polish author (1909–1983),Q5,
9384,Q34782,Natalie Clifford Barney,American writer who hosted a literary salon at her home in Paris (1876-1972),Q5,
9385,Q347832,Ricardo Rojas,Argentine writer (1882-1957),Q5,
9386,Q34787,Friedrich Engels,"German philosopher, sociologist and economist (1820–1895)",Q5,Frederick Engels
9387,Q347891,Nicolas Chamfort,French journalist and moralistic author,Q5,"Chamfort, Nicolas de Chamfort, Sébastien-Roch-Nicolas Chamfort"
9388,Q347950,Gaspar Noé,"Argentine director, screenwriter, cinematographer and film producer (born 1963)",Q5,Gaspar Noe
9389,Q347986,Steve Jones,English guitarist,Q5,Jonsey
9390,Q348001,Rainis,Latvian poet (1865–1929),Q5,"Jānis Pliekšāns, Janis Rainis"
9391,Q348037,Mark Taimanov,Soviet chess player (1926–2016),Q5,Mark Evgenievich Taimanov
9392,Q3480998,Huang Nubo,Chinese businessman,Q5,"Luo Ying, Nubo Huang"
9393,Q348134,Italia Conti Academy of Theatre Arts,"school in Woking, Surrey, United Kingdom",Q2418495,Italia Conti School of Acting
9394,Q34816,Kathryn Bigelow,American film director (born 1951),Q5,Kathryn Ann Bigelow
9395,Q348170,Samuel Putnam,American translator and scholar of Romance languages (1892-1950),Q5,
9396,Q348351,Lee J. Cobb,American actor (1911–1976),Q5,Lee Cobb
9397,Q34836,Ulysses S. Grant,president of the United States from 1869 to 1877,Q5,"Ulysses Simpson Grant, General Grant, Ulysses Grant, President Grant, Hiram Ulysses Grant, U. S. Grant, U.S. Grant, Ulysses Hiram Grant, Ulysses S Grant"
9398,Q348497,Ilya Ehrenburg,"Soviet writer, Bolshevik revolutionary, journalist and historian (1891–1967)",Q5,Ilya Grigoryevich Ehrenburg
9399,Q34851,Elizabeth Taylor,British-American actress (1932–2011),Q5,"Liz Taylor, Dame Elizabeth Rosemond Taylor, Dame Elizabeth Taylor, Elizabeth Rosemond Taylor"
9400,Q348533,Q348533,"American rapper, actor, and comedian (born 1980)",Q5|Q167270,"Nicholas Cannon, Nicholas Scott ""Nick"" Cannon, Nicholas Scott Cannon"
9401,Q348534,3000 Miles to Graceland,2001 film by Demian Lichtenstein,Q11424,
9402,Q348571,Ronnie Van Zant,American singer (1948–1977),Q5,"Ronald Wayne, Ronald Wayne Van Zant"
9403,Q348603,Howard Stern,American radio and television personality (born 1954),Q5,Howard Allan Stern
9404,Q348615,MC Ren,American rapper,Q5,Lorenzo Jerald Patterson
9405,Q34863,Oklahoma City,"city and state capital of Oklahoma, United States",Q62049|Q1093829|Q1549591,"OKC, Oklahoma City, OK, Oklahoma City, Oklahoma, Okla. City, OK City"
9406,Q348649,Harry Shum,American actor and dancer (born 1982),Q5,"Harry Shum Jr., Harry Shum, Jr."
9407,Q348658,Adam Ant,English musician (born 1954),Q5,
9408,Q348678,The Women,1939 film by George Cukor,Q11424,Women
9409,Q348738,Brandon T. Jackson,"American actor, comedian and rapper",Q5,Brandon Timothy Jackson
9410,Q3487499,Assignment: Earth,26th episode of the second season of Star Trek: The Original Series,Q61220733,"AE, Star Trek : Assignment: Earth"
9411,Q348790,Octavian Paler,Romanian writer and journalist (1926–2007),Q5,
9412,Q348916,Bruce Chatwin,English novelist (1940–1989),Q5,"Bruce Charles Chatwin, C. Bruce Chatwin, Charles Bruce Chatwin"
9413,Q348944,Simon Webbe,British singer (born 1978),Q5,Simon Solomon Webbe
9414,Q3490296,Louise O. Fresco,Dutch agronomist,Q5,"L.O. Fresco, Louise Fresco, Louise O Fresco, Louise Ottilie Fresco"
9415,Q349039,Adam Curry,broadcasting and Internet personality,Q5,Adam Clark Curry
9416,Q3490465,Robert Kowalski,British computer scientist,Q5,"Robert A. Kowalski, Robert Anthony Kowalski"
9417,Q349055,Wayne State University,"American public research university located in Detroit, Michigan",Q23002039|Q62078547,"WSU, Wayne University, wayne.edu"
9418,Q349117,Adam Davidson,American actor and television director,Q5,Adam Rosh Davidson
9419,Q349217,Norman Wisdom,"English actor, comedian and singer-songwriter",Q5,Sir Norman Joseph Wisdom
9420,Q349223,Adam Dutkiewicz,American musician and record producer,Q5,Adam Jonathan Dutkiewicz
9421,Q349312,Lily Rabe,American actress (born 1982),Q5,
9422,Q34933,Eric Hobsbawm,British academic historian and Marxist historiographer (1917–2012),Q5,"Obstbaum, Eric John Ernest Hobsbawm, E.J. Hobsbawm"
9423,Q349350,Alan Tudyk,American actor,Q5,Alan Wray Tudyk
9424,Q349391,Helen Mirren,English actress (born 1945),Q5,"Dame Helen Lydia Mirren, Helen Lydia Mironoff, Illiana Lydia Petrovna Mironova"
9425,Q349420,Fabolous,American rapper,Q5,"Loso, John David Jackson, Fabolous Sport"
9426,Q34943,Ptolemy,"2nd-century Roman mathematician, astronomer, geographer",Q5,"Claudius Ptolemaeus, Claudius Ptolemeus, Claudius Ptolemy, Klaudios Ptolemaios"
9427,Q349434,Jermaine Dupri,"American songwriter, record producer, rapper, and music executive (born 1972)",Q5,"JD, Don Chi Chi, Jermaine Dupri Mauldin, Jermaine Mauldin"
9428,Q349456,David Rohl,English egyptologist,Q5,"David M. Rohl, David Michael Rohl"
9429,Q349461,Randy Jackson,American singer and musician (born 1961),Q5,"Steven Randall ""Randy"" Jackson, Steven Randall Randy Jackson"
9430,Q349507,Apostolo Zeno,Venetian poet (1668–1750),Q5,Apostolo (unidentified) Zeno
9431,Q349591,Adam Green,American singer-songwriter,Q5,
9432,Q34969,Benjamin Franklin,American polymath and statesman (1706–1790),Q5,"Franklin, Ben Franklin, Silence Dogood, Poor Richard, The First American"
9433,Q349690,Mel Blanc,American voice actor and radio personality (1908–1989),Q5,The Man of a Thousand Voices
9434,Q34970,D. H. Lawrence,English writer and poet (1885–1930),Q5,"David Herbert Lawrence, D.H. Lawrence, D. G. Lourens, D. H. David Herbert Lawrence, D. H. Lorenss, David Herbert Richards Lawrence, Lawrence H. Davison"
9435,Q34975,Brian Cox,Scottish actor,Q5,Brian Denis Cox
9436,Q349777,Adam Hochschild,"American author, journalist, and lecturer",Q5,
9437,Q349799,Ad-Rock,"American rapper, guitarist and actor",Q5,"Adam Horowitz, 41 Small Stars, Ad Rock, Adam Horovitz, Adam O'Keefe, DJ Ham & Cheese On Rye, King Ad-Rock"
9438,Q34981,Isaac Asimov,American writer and biochemist (1920–1992),Q5,"Asimov, Paul French, Isaak Osimov, Isaak Ozimov, Itzhak Ozimov"
9439,Q349852,Tom Sizemore,American actor (1961–2023),Q5,"Thomas Edward ""Tom"" Sizemore, Jr."
9440,Q349857,Christopher McDonald,American actor,Q5,
9441,Q349893,Milan Hodža,Slovak politician and journalist (1878-1944),Q5,Milan Hodza
9442,Q3499732,Stones in Exile,2010 film by Stephen Kijak,Q11424,
9443,Q35,Denmark,country in Northern Europe and North America,Q6256|Q7275|Q20181813|Q63791824|Q66724388,"Dania, TAN, dk, Denmark proper, metropolitan Denmark"
9444,Q350,Cambridge,"city in Cambridgeshire, England",Q515|Q1115575|Q1187811|Q1357964|Q1549591|Q110390579,
9445,Q35011,Frances Fisher,American actress (born 1952),Q5,Frances Louise Fisher
9446,Q3501317,fashion designer,one who designs clothing and related items,Q28640|Q12737077,"couturier, clothing designer"
9447,Q350194,Alan Dale,New Zealand actor,Q5,Alan Hugh Dale
9448,Q350208,Dennis Haysbert,American actor (born 1954),Q5,
9449,Q350255,William Forsythe,American actor,Q5,Forsythe
9450,Q35032,Eastern Orthodox Church,second-largest Christian church,Q34651|Q879146|Q4204511,"Greek Church, Orthodox Catholic Church, Orthodox Church, Church of the Seven Councils, Eastern Church, Eastern Orthodox communion, The Holy Orthodox Catholic Apostolic Eastern Church"
9451,Q350362,James Blake,English singer and record producer (born 1988),Q5,"Harmonimix, James Litherland"
9452,Q350405,Adam McKay,American filmmaker (born 1968),Q5,
9453,Q350424,Alessandro Nivola,American-British actor,Q5,
9454,Q3504610,"Vincenzo, Count Dandolo",Italian scientist (1758-1819),Q5,Vincenzo Dandolo
9455,Q3505252,drug overdose,ingestion or application of a drug or other substance in quantities greater than recommended amount,,"overdose, OD"
9456,Q350552,Kálmán Mikszáth,Hungarian writer and politician (1847–1910),Q5,"Kalman Mikszath, Koloman Mikszáth"
9457,Q350581,Colby O'Donis,American singer,Q5,Colby O'Donis Colón
9458,Q350588,Dr. Luke,American songwriter and record producer,Q5,"Made in China, Richard Head, Tyson Trax, Kasz, Loctor Duke, Lukasz Gottwald"
9459,Q350601,Alexander Ludwig,"Canadian actor, singer and model",Q5,Alexander Richard Ludwig
9460,Q35064,Agatha Christie,English mystery and detective writer (1890–1976),Q5,
9461,Q350666,Dalton Trumbo,American screenwriter (1905–1976),Q5,"Robert Rich, James Dalton Trumbo"
9462,Q350678,Van Heflin,American actor (1908–1971),Q5,"Emmett Evan Heflin, Emmett Evan Heflin Jr."
9463,Q350690,Charles Coburn,"American film, theater actor (1877–1961)",Q5,Charles Douville Coburn
9464,Q350700,Elliott Sharp,American musician,Q5,
9465,Q350704,Max Steiner,Austrian-born American music composer and conductor (1888–1971),Q5,Maximilian Raoul Steiner
9466,Q350714,Fred Ward,American actor (1942–2022),Q5,Frederick Joseph Ward
9467,Q350717,Michael Apted,British television and film director and producer (1941–2021),Q5,Michael D. Apted
9468,Q350732,Xavier Samuel,Australian actor,Q5,
9469,Q350811,Eddie Kaye Thomas,American actor,Q5,
